symbol,report_date,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Special Income Charges,Gain On Sale Of Ppe,Write Off,Impairment Of Capital Assets,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Selling General And Administration,General And Administrative Expense,Other Gand A,Salaries And Wages,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Treasury Stock,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Payables And Accrued Expenses,Payables,Other Payable,Total Tax Payable,Income Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Investments And Advances,Other Investments,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Investments In Other Ventures Under Equity Method,Goodwill And Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Current Assets,Other Current Assets,Inventory,Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Free Cash Flow,Repurchase Of Capital Stock,Repayment Of Debt,Issuance Of Debt,Capital Expenditure,Interest Paid Supplemental Data,Income Tax Paid Supplemental Data,End Cash Position,Beginning Cash Position,Effect Of Exchange Rate Changes,Changes In Cash,Financing Cash Flow,Cash Flow From Continuing Financing Activities,Net Other Financing Charges,Cash Dividends Paid,Common Stock Dividend Paid,Net Common Stock Issuance,Common Stock Payments,Net Issuance Payments Of Debt,Net Long Term Debt Issuance,Long Term Debt Payments,Long Term Debt Issuance,Investing Cash Flow,Cash Flow From Continuing Investing Activities,Dividends Received Cfi,Net Investment Purchase And Sale,Purchase Of Investment,Net Business Purchase And Sale,Sale Of Business,Net PPE Purchase And Sale,Sale Of PPE,Purchase Of PPE,Capital Expenditure Reported,Operating Cash Flow,Cash Flow From Continuing Operating Activities,Change In Working Capital,Change In Other Current Liabilities,Change In Other Current Assets,Change In Payables And Accrued Expense,Change In Payable,Change In Account Payable,Change In Receivables,Changes In Account Receivables,Other Non Cash Items,Stock Based Compensation,Asset Impairment Charge,Deferred Tax,Deferred Income Tax,Depreciation Amortization Depletion,Depletion,Depreciation And Amortization,Depreciation,Operating Gains Losses,Gain Loss On Investment Securities,Net Income From Continuing Operations,sector
DVN,2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,475000000.0,475000000.0,475000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42000000.0,,,,,,,,,,,,,,,Energy
DVN,2024-09-30,0.0,0.22,1956000000.0,0.0,0.0,812000000.0,794000000.0,2706000000.0,1956000000.0,1162000000.0,-88000000.0,98000000.0,19000000.0,812000000.0,812000000.0,2823000000.0,623000000.0,622000000.0,1.3,1.31,812000000.0,812000000.0,812000000.0,-13000000.0,825000000.0,825000000.0,239000000.0,1064000000.0,-45000000.0,-45000000.0,0.0,0.0,,,8000000.0,-88000000.0,9000000.0,98000000.0,19000000.0,1201000000.0,117000000.0,4000000.0,113000000.0,113000000.0,57000000.0,56000000.0,1318000000.0,2706000000.0,4024000000.0,4024000000.0,658259031.0,658259031.0,8208000000.0,9212000000.0,13524000000.0,23161000000.0,326000000.0,13524000000.0,328000000.0,14277000000.0,23161000000.0,14478000000.0,201000000.0,14277000000.0,-121000000.0,-121000000.0,0.0,7670000000.0,6662000000.0,66000000.0,66000000.0,15785000000.0,12879000000.0,820000000.0,2082000000.0,2082000000.0,9212000000.0,328000000.0,8884000000.0,765000000.0,2906000000.0,488000000.0,,,,2418000000.0,2418000000.0,1423000000.0,,,995000000.0,30263000000.0,27031000000.0,293000000.0,718000000.0,53000000.0,665000000.0,588000000.0,77000000.0,753000000.0,753000000.0,25267000000.0,-33156000000.0,58423000000.0,2947000000.0,3232000000.0,484000000.0,293000000.0,1779000000.0,1779000000.0,-7000000.0,1786000000.0,676000000.0,676000000.0,-2816000000.0,-295000000.0,-472000000.0,3219000000.0,-4479000000.0,90000000.0,92000000.0,676000000.0,1169000000.0,1000000.0,-494000000.0,2192000000.0,2192000000.0,12000000.0,-272000000.0,-272000000.0,-295000000.0,-295000000.0,2747000000.0,2747000000.0,-472000000.0,3219000000.0,-4349000000.0,-4349000000.0,13000000.0,-30000000.0,-30000000.0,147000000.0,147000000.0,-3602000000.0,0.0,-3602000000.0,-877000000.0,1663000000.0,1663000000.0,16000000.0,61000000.0,-22000000.0,-64000000.0,-64000000.0,,41000000.0,41000000.0,66000000.0,24000000.0,1000000.0,164000000.0,164000000.0,794000000.0,770000000.0,24000000.0,24000000.0,-227000000.0,-227000000.0,825000000.0,Energy
DVN,2024-12-31,890476.190476,0.222619,1935000000.0,4000000.0,4000000.0,639000000.0,971000000.0,3254000000.0,1939000000.0,968000000.0,-123000000.0,128000000.0,16000000.0,635890476.190476,639000000.0,3460000000.0,651000000.0,650000000.0,0.98,0.98,639000000.0,639000000.0,639000000.0,-14000000.0,653000000.0,653000000.0,187000000.0,840000000.0,20000000.0,16000000.0,4000000.0,5000000.0,,,1000000.0,-123000000.0,11000000.0,128000000.0,16000000.0,943000000.0,206000000.0,51000000.0,155000000.0,155000000.0,65000000.0,90000000.0,1149000000.0,3254000000.0,4403000000.0,4403000000.0,651000000.0,651000000.0,8037000000.0,9203000000.0,13743000000.0,23379000000.0,118000000.0,13743000000.0,320000000.0,14496000000.0,22894000000.0,14704000000.0,208000000.0,14496000000.0,-122000000.0,-122000000.0,0.0,8166000000.0,6387000000.0,65000000.0,65000000.0,15785000000.0,12476000000.0,840000000.0,2148000000.0,2148000000.0,8718000000.0,320000000.0,8398000000.0,770000000.0,3309000000.0,586000000.0,485000000.0,485000000.0,485000000.0,2238000000.0,2238000000.0,1432000000.0,,,806000000.0,30489000000.0,27062000000.0,268000000.0,727000000.0,54000000.0,673000000.0,558000000.0,115000000.0,753000000.0,753000000.0,25314000000.0,-34121000000.0,59435000000.0,2974000000.0,3427000000.0,315000000.0,294000000.0,1972000000.0,1972000000.0,-6000000.0,1978000000.0,846000000.0,846000000.0,622000000.0,-301000000.0,0.0,0.0,-1042000000.0,-164000000.0,-472000000.0,846000000.0,676000000.0,-1000000.0,171000000.0,-450000000.0,-450000000.0,-6000000.0,-143000000.0,-143000000.0,-301000000.0,-301000000.0,0.0,0.0,0.0,0.0,-1043000000.0,-1043000000.0,33000000.0,-40000000.0,-40000000.0,0.0,0.0,-110000000.0,6000000.0,-116000000.0,-926000000.0,1664000000.0,1664000000.0,-202000000.0,85000000.0,62000000.0,-153000000.0,-153000000.0,,-196000000.0,-196000000.0,207000000.0,24000000.0,3000000.0,68000000.0,68000000.0,971000000.0,,,,-60000000.0,-55000000.0,653000000.0,Energy
DVN,2025-03-31,-53760000.0,0.21,1941000000.0,-256000000.0,-256000000.0,494000000.0,912000000.0,3260000000.0,1685000000.0,773000000.0,-123000000.0,127000000.0,10000000.0,696240000.0,494000000.0,3400000000.0,645000000.0,643000000.0,0.77,0.77,494000000.0,494000000.0,494000000.0,-15000000.0,509000000.0,509000000.0,137000000.0,646000000.0,-283000000.0,-27000000.0,-256000000.0,-2000000.0,254000000.0,,,-123000000.0,6000000.0,127000000.0,10000000.0,1052000000.0,140000000.0,10000000.0,130000000.0,130000000.0,60000000.0,70000000.0,1192000000.0,3260000000.0,4452000000.0,4452000000.0,644000000.0,644000000.0,7646000000.0,8957000000.0,13792000000.0,23425000000.0,287000000.0,13792000000.0,77000000.0,14545000000.0,22940000000.0,14773000000.0,228000000.0,14545000000.0,-121000000.0,-121000000.0,,8506000000.0,6096000000.0,64000000.0,64000000.0,16155000000.0,12537000000.0,1041000000.0,2189000000.0,2189000000.0,8472000000.0,77000000.0,8395000000.0,835000000.0,3618000000.0,622000000.0,485000000.0,485000000.0,485000000.0,2511000000.0,2511000000.0,1588000000.0,,,923000000.0,30928000000.0,27023000000.0,348000000.0,713000000.0,47000000.0,666000000.0,553000000.0,113000000.0,753000000.0,753000000.0,25209000000.0,-35017000000.0,60226000000.0,2637000000.0,3905000000.0,303000000.0,332000000.0,2036000000.0,2036000000.0,-7000000.0,2043000000.0,1234000000.0,1234000000.0,1000000000.0,-301000000.0,-274000000.0,,-942000000.0,160000000.0,,1234000000.0,846000000.0,0.0,388000000.0,-752000000.0,-752000000.0,-14000000.0,-163000000.0,-163000000.0,-301000000.0,-301000000.0,-274000000.0,-274000000.0,-274000000.0,,-802000000.0,-802000000.0,9000000.0,-2000000.0,-2000000.0,,,125000000.0,133000000.0,-8000000.0,-934000000.0,1942000000.0,1942000000.0,117000000.0,52000000.0,-120000000.0,248000000.0,248000000.0,,-63000000.0,-63000000.0,-26000000.0,30000000.0,259000000.0,41000000.0,41000000.0,912000000.0,886000000.0,26000000.0,26000000.0,100000000.0,98000000.0,509000000.0,Energy
DVN,2025-06-30,64470000.0,0.21,1894000000.0,307000000.0,307000000.0,899000000.0,914000000.0,3170000000.0,2201000000.0,1287000000.0,-116000000.0,126000000.0,14000000.0,656470000.0,899000000.0,3303000000.0,636000000.0,635000000.0,1.41,1.42,899000000.0,899000000.0,899000000.0,-18000000.0,917000000.0,917000000.0,244000000.0,1161000000.0,296000000.0,-11000000.0,307000000.0,307000000.0,,0.0,,-116000000.0,4000000.0,126000000.0,14000000.0,981000000.0,133000000.0,20000000.0,113000000.0,113000000.0,57000000.0,56000000.0,1114000000.0,3170000000.0,4284000000.0,4284000000.0,636000000.0,636000000.0,7119000000.0,8991000000.0,14307000000.0,23938000000.0,786000000.0,14307000000.0,113000000.0,15060000000.0,23453000000.0,15292000000.0,232000000.0,15060000000.0,-120000000.0,-120000000.0,,9252000000.0,5864000000.0,64000000.0,64000000.0,16098000000.0,12561000000.0,1008000000.0,2208000000.0,2208000000.0,8506000000.0,113000000.0,8393000000.0,839000000.0,3537000000.0,537000000.0,485000000.0,485000000.0,485000000.0,2515000000.0,2515000000.0,1440000000.0,190000000.0,190000000.0,885000000.0,31390000000.0,27067000000.0,374000000.0,640000000.0,48000000.0,592000000.0,484000000.0,108000000.0,753000000.0,753000000.0,25300000000.0,-35928000000.0,61228000000.0,2750000000.0,4323000000.0,384000000.0,327000000.0,1853000000.0,1853000000.0,-7000000.0,1860000000.0,1759000000.0,1759000000.0,573000000.0,-249000000.0,0.0,,-972000000.0,101000000.0,152000000.0,1759000000.0,1234000000.0,1000000.0,524000000.0,-424000000.0,-424000000.0,-19000000.0,-156000000.0,-156000000.0,-249000000.0,-249000000.0,0.0,0.0,0.0,,-597000000.0,-597000000.0,11000000.0,-8000000.0,-8000000.0,,,356000000.0,372000000.0,-16000000.0,-956000000.0,1545000000.0,1545000000.0,134000000.0,114000000.0,-1000000.0,-162000000.0,-162000000.0,-162000000.0,183000000.0,183000000.0,75000000.0,23000000.0,7000000.0,18000000.0,18000000.0,914000000.0,,,,-543000000.0,-236000000.0,917000000.0,Energy
DVN,2025-09-30,8880000.0,0.24,1879000000.0,37000000.0,37000000.0,687000000.0,879000000.0,3227000000.0,1916000000.0,1037000000.0,-109000000.0,125000000.0,18000000.0,658880000.0,687000000.0,3349000000.0,629000000.0,628000000.0,1.09,1.09,687000000.0,687000000.0,687000000.0,-6000000.0,693000000.0,693000000.0,219000000.0,912000000.0,39000000.0,2000000.0,37000000.0,37000000.0,0.0,,,-109000000.0,2000000.0,125000000.0,18000000.0,982000000.0,122000000.0,8000000.0,114000000.0,114000000.0,51000000.0,63000000.0,1104000000.0,3227000000.0,4331000000.0,4331000000.0,629000000.0,629000000.0,7113000000.0,8549000000.0,14597000000.0,23741000000.0,-175000000.0,14597000000.0,158000000.0,15350000000.0,22743000000.0,15350000000.0,0.0,15350000000.0,-119000000.0,-119000000.0,,9788000000.0,5618000000.0,63000000.0,63000000.0,15871000000.0,11829000000.0,962000000.0,2466000000.0,2466000000.0,7551000000.0,158000000.0,7393000000.0,850000000.0,4042000000.0,646000000.0,998000000.0,998000000.0,,2398000000.0,2398000000.0,1464000000.0,,,934000000.0,31221000000.0,27354000000.0,386000000.0,679000000.0,50000000.0,629000000.0,525000000.0,104000000.0,753000000.0,753000000.0,25536000000.0,-36799000000.0,62335000000.0,2842000000.0,3867000000.0,393000000.0,361000000.0,1835000000.0,1835000000.0,-7000000.0,1842000000.0,1278000000.0,1278000000.0,623000000.0,-250000000.0,-485000000.0,0.0,-1067000000.0,162000000.0,31000000.0,1278000000.0,1759000000.0,0.0,-481000000.0,-1147000000.0,-1147000000.0,-261000000.0,-151000000.0,-151000000.0,-250000000.0,-250000000.0,-485000000.0,-485000000.0,-485000000.0,0.0,-1024000000.0,-1024000000.0,7000000.0,-2000000.0,-2000000.0,0.0,0.0,-159000000.0,38000000.0,-197000000.0,-870000000.0,1690000000.0,1690000000.0,-62000000.0,-107000000.0,-68000000.0,93000000.0,93000000.0,,20000000.0,20000000.0,9000000.0,24000000.0,1000000.0,263000000.0,263000000.0,879000000.0,854000000.0,25000000.0,25000000.0,-117000000.0,-80000000.0,693000000.0,Energy
