symbol,date,close,volume
,,UHS,UHS
UHS,2010-01-04,28.893112182617188,1553600
UHS,2010-01-05,28.661226272583008,1210900
UHS,2010-01-06,28.5220947265625,1039700
UHS,2010-01-07,28.94876480102539,1186300
UHS,2010-01-08,30.256607055664062,1906000
UHS,2010-01-11,29.94123649597168,803500
UHS,2010-01-12,29.041515350341797,882200
UHS,2010-01-13,30.386457443237305,1360200
UHS,2010-01-14,30.942991256713867,1185600
UHS,2010-01-15,30.01544952392578,934000
UHS,2010-01-19,29.839218139648438,1775900
UHS,2010-01-20,28.12324333190918,4784300
UHS,2010-01-21,27.112220764160156,1792000
UHS,2010-01-22,26.6669979095459,1566600
UHS,2010-01-25,27.399763107299805,1579000
UHS,2010-01-26,28.614850997924805,1844100
UHS,2010-01-27,28.039772033691406,1858300
UHS,2010-01-28,27.2606258392334,1066900
UHS,2010-01-29,27.04729461669922,937600
UHS,2010-02-01,27.232807159423828,1136800
UHS,2010-02-02,28.14180564880371,1098700
UHS,2010-02-03,27.715131759643555,431200
UHS,2010-02-04,27.056570053100586,945300
UHS,2010-02-05,26.741199493408203,902800
UHS,2010-02-08,26.84322738647461,1375000
UHS,2010-02-09,28.04903793334961,1585500
UHS,2010-02-10,28.633398056030273,2193500
UHS,2010-02-11,29.1064453125,942400
UHS,2010-02-12,29.700082778930664,1024000
UHS,2010-02-16,29.69080352783203,1031100
UHS,2010-02-17,29.53312873840332,1578100
UHS,2010-02-18,29.59804916381836,1804500
UHS,2010-02-19,29.94123649597168,926000
UHS,2010-02-22,29.17137908935547,1185600
UHS,2010-02-23,28.34586524963379,1275200
UHS,2010-02-24,28.19744873046875,1285100
UHS,2010-02-25,28.810640335083008,1725600
UHS,2010-02-26,28.819931030273438,2416700
UHS,2010-03-01,29.442419052124023,1207000
UHS,2010-03-02,29.767593383789062,686600
UHS,2010-03-03,29.405254364013672,882500
UHS,2010-03-04,30.687368392944336,1720700
UHS,2010-03-05,30.752405166625977,960200
UHS,2010-03-08,30.715255737304688,608700
UHS,2010-03-09,30.23212432861328,1498100
UHS,2010-03-10,31.13332748413086,3239800
UHS,2010-03-11,31.272689819335938,1536000
UHS,2010-03-12,30.687368392944336,1197600
UHS,2010-03-15,31.458511352539062,1371500
UHS,2010-03-16,31.727949142456055,1131700
UHS,2010-03-17,32.173912048339844,1750300
UHS,2010-03-18,31.74650764465332,1769600
UHS,2010-03-19,32.01594924926758,1767700
UHS,2010-03-22,33.9948844909668,3787400
UHS,2010-03-23,33.40028381347656,1192300
UHS,2010-03-24,32.67558670043945,1276900
UHS,2010-03-25,32.68488311767578,868100
UHS,2010-03-26,33.10296630859375,1283200
UHS,2010-03-29,33.51177978515625,941900
UHS,2010-03-30,33.260929107666016,1297100
UHS,2010-03-31,32.60126495361328,756200
UHS,2010-04-01,34.10636901855469,1578200
UHS,2010-04-05,34.032039642333984,672600
